1679,-3706,-1045,1803,-5,4,1,0,10000,
20519,-3694,-1043,1798,2,22,4,0,10000,
21006,-3705,-1051,1806,13,-9,-2,0,10000,
19992,-3704,-1035,1813,3,6,4,0,10000,
20008,-3708,-1039,1793,-5,11,1,0,10000,
19992,-3708,-1045,1810,-8,11,0,0,10000,
20008,-3698,-1049,1813,-5,-4,-3,0,10000,
19992,-3691,-1040,1820,2,-14,-3,0,10000,
20008,-3705,-1044,1802,1,-9,1,0,10000,
19992,-3714,-1045,1783,0,-7,-1,0,10000,
20008,-3703,-1042,1789,2,3,0,0,10000,
19992,-3704,-1039,1794,-3,12,3,0,10000,
20008,-3701,-1045,1806,-4,5,-1,0,10000,
19992,-3703,-1037,1808,-3,-2,0,0,10000,
20008,-3712,-1038,1805,-14,-15,-2,0,10000,
19992,-3692,-1041,1794,-10,-12,1,0,10000,
20008,-3700,-1056,1810,-3,5,2,0,10000,
19992,-3692,-1046,1810,10,15,0,0,10000,
20008,-3697,-1044,1801,13,3,-4,0,10000,
19992,-3713,-1029,1794,3,-9,-3,0,10000,
20008,-3698,-1046,1799,-5,-17,-4,0,10000,
19992,-3688,-1045,1811,-1,-7,-1,0,10000,
20008,-3722,-1038,1790,1,11,-1,-1,10000,
20992,-3699,-1028,1801,11,4,1,-1,10000,
20008,-3703,-1043,1791,9,-14,-3,0,10000,
20992,-3708,-1039,1784,-9,-2,-1,1,10000,
20008,-3705,-1042,1809,-7,15,3,1,10000,
20992,-3707,-1051,1812,1,-4,-3,0,10000,
20008,-3700,-1044,1822,2,-13,0,0,10000,
20992,-3714,-1041,1794,-13,8,1,0,10000,
20008,-3700,-1039,1805,-13,3,1,0,10000,
20992,-3708,-1053,1809,-4,-11,-3,0,10000,
20008,-3714,-1050,1819,0,-2,3,0,10000,
20992,-3705,-1048,1789,5,8,2,1,10000,
20008,-3696,-1036,1825,9,-10,1,3,10000,
20992,-3716,-1045,1787,-1,-7,-2,3,10000,
20008,-3717,-1055,1794,-4,6,2,1,10000,
20992,-3713,-1049,1799,12,9,-3,-1,10000,
20008,-3700,-1046,1807,24,-17,-5,-3,10000,
20992,-3708,-1040,1806,14,3,-2,-2,10000,
20008,-3699,-1038,1792,5,5,-4,0,10000,
20992,-3698,-1040,1810,-7,-11,-1,1,10000,
20008,-3705,-1045,1812,-7,-6,-2,0,10000,
20992,-3717,-1040,1805,-4,15,1,-1,10000,
20008,-3703,-1041,1816,4,1,-2,-1,10000,
20992,-3714,-1038,1814,1,-20,-4,0,10000,
20008,-3693,-1055,1808,-4,-3,3,1,10000,
20992,-3701,-1047,1824,-4,17,1,1,10000,
20008,-3713,-1045,1808,4,1,-4,0,10000,
20992,-3715,-1043,1816,0,-11,-2,1,10000,
20008,-3711,-1035,1788,-2,0,1,3,10000,
20992,-3700,-1046,1792,0,5,-2,3,10000,
20008,-3692,-1042,1789,1,-1,-4,1,10000,
20992,-3701,-1045,1804,-3,-13,-4,-1,10000,
20008,-3703,-1036,1797,-5,-9,1,-1,10000,
20992,-3720,-1049,1800,-9,13,4,0,10000,
20008,-3698,-1042,1804,2,-7,-2,0,10000,
20992,-3705,-1030,1795,-4,-11,0,-1,10000,
20008,-3708,-1048,1796,-12,7,-1,-4,10000,
20992,-3703,-1042,1773,-10,-8,1,-5,10000,
20008,-3700,-1043,1798,-7,-2,-3,-3,10000,
20992,-3711,-1061,1818,11,7,1,0,10000,
20008,-3722,-1052,1804,29,-14,-3,2,10000,
20992,-3705,-1038,1791,17,-17,-3,1,10000,
20008,-3700,-1030,1791,-17,3,1,0,10000,
20992,-3696,-1032,1796,-31,22,2,0,10000,
20008,-3704,-1062,1798,-24,5,-2,0,10000,
20992,-3710,-1062,1807,6,-7,-1,0,10000,
20008,-3712,-1044,1811,28,-6,1,0,10000,
20992,-3702,-1043,1804,33,-12,-4,0,10000,
20008,-3700,-1027,1806,2,-13,-2,0,10000,
