periodo,acx,acy,acz,gx,gy,gz,cantAngle,altitude,
10,-4024,82,2134,-1,-10,-2,0,7609,
10,-4028,81,2121,254,248,1,0,7634,
10,-4026,81,2113,-7,1,3,0,7659,
10,-4027,67,2125,-4,12,1,0,7684,
10,-4030,60,2111,252,17,2,0,7709,
10,-4042,75,2107,2,8,-2,0,7734,
10,-4033,77,2141,0,5,-5,0,7760,
10,-4037,73,2118,4,-5,-2,0,7785,
10,-4030,68,2126,5,-16,1,0,7811,
10,-4028,77,2115,1,-17,-2,0,7837,
10,-4018,71,2116,-4,254,0,0,7863,
10,-4030,70,2115,253,251,254,0,7889,
10,-4033,77,2127,252,5,0,0,7915,
10,-4027,78,2102,251,18,2,0,7942,
10,-4028,83,2118,5,14,-4,0,7968,
10,-4032,85,2104,2,6,254,0,7994,
10,-4035,90,2112,3,-2,0,0,8021,
10,-4023,77,2113,3,-4,253,0,8048,
10,-4033,68,2112,5,-12,0,0,8075,
10,-4029,84,2117,1,243,253,0,8102,
10,-4037,87,2118,-17,241,254,0,8129,
10,-4027,80,2118,-10,252,-3,0,8156,
10,-4033,81,2127,251,246,-4,0,8183,
10,-4016,85,2110,253,252,254,0,8210,
10,-4036,87,2117,0,3,1,0,8238,
10,-4029,79,2091,4,251,-2,0,8265,
10,-4020,76,2119,2,-14,-3,0,8293,
10,-4027,70,2130,0,-8,-3,0,8320,
10,-4034,87,2111,0,-9,-4,0,8348,
10,-4024,82,2125,250,8,3,0,8376,
10,-4033,80,2121,-5,6,4,0,8404,
10,-4029,73,2122,-5,12,0,0,8432,
10,-4027,66,2119,-5,13,-5,0,8460,
10,-4027,86,2129,0,5,2,0,8488,
10,-4018,77,2117,0,1,254,0,8517,
10,-4043,72,2122,2,-2,0,0,8545,
10,-4032,73,2121,3,-5,-2,0,8573,
10,-4035,70,2121,2,247,-1,0,8602,
10,-4036,81,2118,0,246,-2,0,8630,
10,-4041,62,2119,-6,0,0,0,8659,
10,-4019,74,2115,-5,3,2,0,8687,
10,-4034,72,2113,250,3,-1,0,8716,
10,-4045,77,2115,-7,8,1,0,8744,
10,-4033,79,2134,252,18,1,0,8773,
10,-4044,79,2113,-2,9,1,0,8802,
10,-4027,74,2124,3,252,3,0,8830,
10,-4022,68,2108,0,251,254,0,8859,
10,-4026,80,2128,3,246,-3,0,8888,
10,-4040,82,2117,2,245,-3,0,8916,
10,-4025,76,2121,-7,244,-2,0,8945,
10,-4031,89,2125,253,250,0,0,8974,
10,-4040,71,2126,254,254,0,0,9002,
10,-4039,73,2113,253,5,2,0,9031,
10,-4034,78,2121,250,1,1,0,9060,
10,-4038,68,2117,247,8,0,0,9089,
10,-4018,76,2111,250,13,0,0,9117,
10,-4040,82,2127,12,13,0,0,9146,
10,-4033,75,2121,2,3,0,0,9175,
10,-4022,78,2123,2,-2,-3,0,9203,
10,-4032,89,2110,2,-8,-3,0,9232,
10,-4025,79,2111,6,-9,254,0,9261,
10,-4022,86,2130,3,-8,-3,0,9289,
10,-4029,69,2108,0,-18,-3,0,9318,
10,-4024,73,2134,-2,249,-3,0,9347,
10,-4023,77,2123,0,253,0,0,9375,
10,-4033,70,2112,-5,6,253,0,9404,
10,-4033,72,2121,-5,12,1,0,9432,
10,-4034,88,2106,-7,11,2,0,9460,
10,-4041,76,2108,0,18,1,0,9489,
10,-4035,80,2123,0,6,1,0,9517,
10,-4029,80,2126,1,2,-2,0,9545,
10,-4028,75,2110,3,-5,253,0,9574,
10,-4024,84,2115,3,-6,-4,0,9602,
10,-4043,79,2115,2,-9,-4,0,9630,
10,-4032,64,2111,1,-10,-2,0,9658,
10,-4029,74,2114,2,-14,-3,0,9686,
10,-4027,91,2115,6,-15,254,0,9714,
10,-4027,77,2115,4,-14,-5,0,9742,
10,-4023,72,2117,3,-16,-2,-2,9770,
10,-4031,69,2125,-2,-10,0,5,9797,
10,-4023,92,2111,-7,-12,-3,-4,9825,
10,-4024,85,2118,-5,0,0,-1,9853,
10,-4025,74,2134,-5,1,0,22,9881,
10,-4036,68,2128,-5,9,4,-47,9908,
10,-4020,72,2116,-4,8,2,68,9936,
10,-4034,76,2125,-4,12,2,-52,9963,
10,-4026,78,2123,-2,10,1,-24,9991,
10,-4022,71,2100,4,4,0,240,10018,
10,-4029,79,2114,5,-5,1,-1640,10045,
10,-4030,84,2124,4,-13,252,-3501,10073,
10,-4015,85,2130,253,241,254,-3209,10100,
10,-4042,83,2097,4,246,254,-3166,10127,
10,-4034,79,2104,1,240,0,-3276,10154,
10,-4039,74,2105,254,244,-3,-3156,10181,
10,-4033,75,2117,-4,8,252,-3227,10208,
10,-4018,59,2115,-7,10,253,-3209,10235,
10,-4042,83,2120,-4,13,0,-3216,10262,
10,-4037,74,2118,-5,12,3,-3240,10289,
10,-4033,72,2119,-7,17,1,-3250,10316,
10,-4034,77,2115,-2,17,254,-3273,10343,
10,-4035,72,2104,1,6,-3,-3297,10370,
10,-4019,74,2114,1,0,-2,-3324,10396,
10,-4026,80,2121,1,-11,-2,-3353,10423,
10,-4020,71,2136,4,-16,-5,-3385,10450,
10,-4036,78,2122,7,248,254,-3418,10476,
10,-4029,73,2127,0,244,3,-3453,10503,
10,-4015,75,2109,254,244,-1,-3490,10529,
10,-4039,77,2106,2,242,251,-3528,10555,
10,-4032,82,2115,3,248,254,-3568,10582,
10,-4024,75,2117,-3,1,16,-3609,10608,
10,-4029,73,2120,-14,12,-5,-3651,10634,
10,-4032,65,2122,-9,13,5,-3694,10660,
10,-4045,80,2125,251,15,1,-3738,10687,
10,-4033,72,2139,254,10,0,-3783,10713,
10,-4040,81,2123,1,-3,0,-3827,10739,
10,-4031,79,2121,2,-12,-3,-3875,10765,
10,-4026,84,2119,5,-13,-4,-3920,10791,
10,-4027,76,2124,-5,15,-5,-3935,10817,
10,-4033,72,2113,249,15,-3,-3933,10842,
10,-4030,86,2125,-5,12,1,-3939,10868,
10,-4041,67,2109,0,11,0,-3945,10894,
10,-4037,82,2112,0,3,1,-3953,10920,
10,-4029,68,2112,1,10,-2,-3964,10945,
10,-4031,70,2124,3,0,0,-3976,10971,
10,-4021,81,2110,-3,2,0,-3990,10996,
10,-4034,83,2094,-8,4,0,-4005,11022,
10,-4031,69,2113,252,13,0,-4022,11047,
10,-4029,71,2109,-3,11,252,-4040,11073,
10,-4030,81,2115,5,4,0,-4059,11098,
10,-4026,71,2121,7,246,1,-4079,11123,
10,-4038,81,2105,-13,-14,-3,-4100,11149,
10,-4034,80,2117,253,248,0,-4121,11174,
10,-4023,72,2107,-3,2,1,-4144,11199,
10,-4026,85,2118,254,5,0,-4167,11224,
10,-4026,76,2112,248,12,-1,-4190,11249,
10,-4022,68,2135,-6,13,2,-4215,11274,
10,-4027,73,2113,0,13,1,-4239,11299,
10,-4021,69,2116,-3,13,0,-4265,11324,
10,-4029,64,2111,2,6,0,-4290,11349,
10,-4041,78,2121,5,253,-2,-4316,11374,
10,-4029,68,2116,5,245,-21,-4343,11398,
10,-4025,80,2117,1,-10,18,-4370,11423,
10,-4040,67,2100,0,-14,254,-4397,11448,
10,-4028,70,2127,1,-8,-4,-4424,11472,
10,-4030,78,2116,-5,6,1,-4451,11497,
10,-4027,81,2117,-7,18,2,-4479,11522,
10,-4015,82,2114,-3,7,1,-4507,11546,
10,-4036,68,2112,2,5,-8,-4535,11570,
10,-4032,74,2109,5,-7,253,-4563,11595,
10,-4038,94,2104,4,248,251,-4591,11619,
10,-4030,90,2121,2,241,253,-4620,11643,
10,-4037,74,2108,1,243,254,-4648,11668,
10,-4038,69,2125,2,239,251,-4677,11692,
10,-4027,80,2113,0,242,-5,-4706,11716,
10,-4029,70,2116,31,242,254,-4735,11740,
10,-4033,80,2101,1,-9,-2,-4764,11764,
10,-4023,73,2124,252,1,1,-4792,11788,
10,-4028,69,2114,252,8,0,-4822,11812,
10,-4033,71,2126,248,9,0,-4850,11836,
10,-4034,77,2114,-5,8,0,-4879,11860,
10,-4031,67,2102,-2,7,0,-4911,11884,
10,-4023,66,2117,-5,14,-2,-4926,11907,
10,-4028,81,2117,-5,11,-2,-4929,11931,
10,-4031,62,2120,0,8,2,-4928,11955,
